"paymentId";"globalPaymentId";"globalRecipientId";"globalRecipientIdx";"globalSchemeId";"amountEuro";"amountNationalCurrency";"year";"countryPayment"
6788;"LU6788";"LU1152";"LU1152";"LU1";37050.24;;"2009";"LU"
6789;"LU6789";"LU2201";"LU2201";"LU1";25592.43;;"2009";"LU"
6790;"LU6790";"LU1157";"LU1157";"LU1";25368.69;;"2009";"LU"
6791;"LU6791";"LU1156";"LU1156";"LU1";43094.54;;"2009";"LU"
6792;"LU6792";"LU2202";"LU2202";"LU1";49874.67;;"2009";"LU"
6793;"LU6793";"LU2203";"LU2203";"LU1";13469.49;;"2009";"LU"
6794;"LU6794";"LU1176";"LU1176";"LU1";1320.90;;"2009";"LU"
6795;"LU6795";"LU1177";"LU1177";"LU1";1357.43;;"2009";"LU"
6796;"LU6796";"LU1171";"LU1171";"LU1";2533.50;;"2009";"LU"
6797;"LU6797";"LU1173";"LU1173";"LU1";6443.33;;"2009";"LU"
6798;"LU6798";"LU1174";"LU1174";"LU1";8543.12;;"2009";"LU"
6799;"LU6799";"LU1167";"LU1167";"LU1";14766.60;;"2009";"LU"
6800;"LU6800";"LU1170";"LU1170";"LU1";13660.72;;"2009";"LU"
6801;"LU6801";"LU1165";"LU1165";"LU1";21472.27;;"2009";"LU"
6802;"LU6802";"LU1168";"LU1168";"LU1";20427.12;;"2009";"LU"
6803;"LU6803";"LU1166";"LU1166";"LU1";23664.81;;"2009";"LU"
6804;"LU6804";"LU1175";"LU1175";"LU1";17949.20;;"2009";"LU"
6805;"LU6805";"LU1172";"LU1172";"LU1";25964.59;;"2009";"LU"
6806;"LU6806";"LU1164";"LU1164";"LU1";497.34;;"2009";"LU"
6807;"LU6807";"LU1182";"LU1182";"LU1";974.28;;"2009";"LU"
6808;"LU6808";"LU1187";"LU1187";"LU1";2145.06;;"2009";"LU"
6809;"LU6809";"LU1179";"LU1179";"LU1";2511.16;;"2009";"LU"
6810;"LU6810";"LU2207";"LU2207";"LU1";5107.85;;"2009";"LU"
6811;"LU6811";"LU1184";"LU1184";"LU1";7268.97;;"2009";"LU"
6812;"LU6812";"LU1186";"LU1186";"LU1";10177.83;;"2009";"LU"
6813;"LU6813";"LU1178";"LU1178";"LU1";14126.02;;"2009";"LU"
6814;"LU6814";"LU1183";"LU1183";"LU1";17007.55;;"2009";"LU"
6815;"LU6815";"LU1181";"LU1181";"LU1";26342.58;;"2009";"LU"
6816;"LU6816";"LU2209";"LU2209";"LU1";31014.25;;"2009";"LU"
6817;"LU6817";"LU1180";"LU1180";"LU1";31902.55;;"2009";"LU"
6818;"LU6818";"LU1198";"LU1198";"LU1";616.40;;"2009";"LU"
6819;"LU6819";"LU1194";"LU1194";"LU1";2158.32;;"2009";"LU"
6820;"LU6820";"LU1196";"LU1196";"LU1";439.76;;"2009";"LU"
6821;"LU6821";"LU1195";"LU1195";"LU1";729.56;;"2009";"LU"
6822;"LU6822";"LU1201";"LU1201";"LU1";1117.21;;"2009";"LU"
6823;"LU6823";"LU1199";"LU1199";"LU1";4578.50;;"2009";"LU"
6824;"LU6824";"LU1204";"LU1204";"LU1";4551.28;;"2009";"LU"
6825;"LU6825";"LU1202";"LU1202";"LU1";6148.03;;"2009";"LU"
6826;"LU6826";"LU1200";"LU1200";"LU1";13451.84;;"2009";"LU"
6827;"LU6827";"LU1203";"LU1203";"LU1";41119.92;;"2009";"LU"
6828;"LU6828";"LU1211";"LU1211";"LU1";1955.38;;"2009";"LU"
6829;"LU6829";"LU1206";"LU1206";"LU1";271.40;;"2009";"LU"
6830;"LU6830";"LU1207";"LU1207";"LU1";1741.34;;"2009";"LU"
6831;"LU6831";"LU1212";"LU1212";"LU1";280.60;;"2009";"LU"
6832;"LU6832";"LU1210";"LU1210";"LU1";13749.29;;"2009";"LU"
6833;"LU6833";"LU1209";"LU1209";"LU1";22217.78;;"2009";"LU"
6834;"LU6834";"LU1213";"LU1213";"LU1";21826.67;;"2009";"LU"
6835;"LU6835";"LU1208";"LU1208";"LU1";55687.60;;"2009";"LU"
6836;"LU6836";"LU1568";"LU1568";"LU1";21184.17;;"2009";"LU"
6837;"LU6837";"LU1571";"LU1571";"LU1";27715.50;;"2009";"LU"
6838;"LU6838";"LU1564";"LU1564";"LU1";31048.05;;"2009";"LU"
6839;"LU6839";"LU1586";"LU1586";"LU1";26118.31;;"2009";"LU"
6840;"LU6840";"LU1580";"LU1580";"LU1";31524.84;;"2009";"LU"
6841;"LU6841";"LU1591";"LU1591";"LU1";28768.90;;"2009";"LU"
6842;"LU6842";"LU1569";"LU1569";"LU1";29335.72;;"2009";"LU"
6843;"LU6843";"LU1596";"LU1596";"LU1";37040.65;;"2009";"LU"
6844;"LU6844";"LU2210";"LU2210";"LU1";50460.47;;"2009";"LU"
6845;"LU6845";"LU1584";"LU1584";"LU1";45239.42;;"2009";"LU"
6846;"LU6846";"LU1579";"LU1579";"LU1";39151.32;;"2009";"LU"
6847;"LU6847";"LU1615";"LU1615";"LU1";119.60;;"2009";"LU"
6848;"LU6848";"LU1614";"LU1614";"LU1";4071.05;;"2009";"LU"
6849;"LU6849";"LU1613";"LU1613";"LU1";8715.26;;"2009";"LU"
6850;"LU6850";"LU1646";"LU1646";"LU1";444.95;;"2009";"LU"
6851;"LU6851";"LU1633";"LU1633";"LU1";267.43;;"2009";"LU"
6852;"LU6852";"LU1624";"LU1624";"LU1";1263.56;;"2009";"LU"
6853;"LU6853";"LU1643";"LU1643";"LU1";1473.29;;"2009";"LU"
6854;"LU6854";"LU1639";"LU1639";"LU1";885.62;;"2009";"LU"
6855;"LU6855";"LU1635";"LU1635";"LU1";586.55;;"2009";"LU"
6856;"LU6856";"LU1641";"LU1641";"LU1";1003.63;;"2009";"LU"
6857;"LU6857";"LU2211";"LU2211";"LU1";325.56;;"2009";"LU"
6858;"LU6858";"LU1652";"LU1652";"LU1";2297.13;;"2009";"LU"
6859;"LU6859";"LU1621";"LU1621";"LU1";5034.05;;"2009";"LU"
6860;"LU6860";"LU1234";"LU1234";"LU1";285.12;;"2009";"LU"
6861;"LU6861";"LU1237";"LU1237";"LU1";5379.99;;"2009";"LU"
6862;"LU6862";"LU1235";"LU1235";"LU1";5835.80;;"2009";"LU"
6863;"LU6863";"LU1214";"LU1214";"LU1";6999.97;;"2009";"LU"
6864;"LU6864";"LU1217";"LU1217";"LU1";15680.18;;"2009";"LU"
6865;"LU6865";"LU1222";"LU1222";"LU1";19550.71;;"2009";"LU"
6866;"LU6866";"LU1233";"LU1233";"LU1";17240.41;;"2009";"LU"
6867;"LU6867";"LU1220";"LU1220";"LU1";22791.18;;"2009";"LU"
6868;"LU6868";"LU1216";"LU1216";"LU1";22476.85;;"2009";"LU"
